15565701;3;480;698;9;161993.89;1;0
15565706;3;427;612;1;0.00;1;1
15565714;1;83;601;1;64430.06;2;0
15565779;2;1167;627;6;57809.32;1;0
15565796;2;906;745;10;96048.55;1;0
15565806;1;1201;532;9;0.00;2;0
15565878;3;1077;631;3;0.00;2;0
15565879;1;998;845;9;0.00;2;0
15565891;1;594;709;8;0.00;2;0
15565996;1;1164;653;8;0.00;2;0
15566030;2;850;497;5;80542.81;1;1
15566091;3;1062;545;4;0.00;1;0
15566111;1;1094;596;9;0.00;1;0
15566139;1;595;526;5;53573.18;1;0
15566156;2;473;749;0;71497.79;2;0
15566211;2;554;616;1;103560.57;1;1
15566251;1;36;618;5;96652.86;1;1
15566253;2;202;580;9;143391.07;1;1
15566269;1;262;787;5;0.00;2;0
15566292;3;396;574;1;0.00;2;0
15566295;1;1236;761;6;138053.79;2;0
15566312;3;525;660;5;0.00;3;1
15566378;1;710;515;5;129387.94;1;1
15566380;3;385;586;10;66948.67;2;0
15566467;2;1047;683;0;138171.10;2;0
15566494;1;302;487;2;0.00;2;0
15566495;3;20;704;2;0.00;1;1
15566531;2;568;724;4;88046.88;1;1
15566543;3;83;573;9;0.00;2;0
15566563;1;1253;777;4;137851.31;1;1
15566594;3;492;709;10;0.00;2;0
15566633;2;582;698;8;155059.10;2;0
15566660;1;814;670;10;0.00;3;0
15566689;3;1132;554;8;0.00;2;0
15566708;1;2;444;4;0.00;2;1
15566735;2;764;548;2;108913.84;2;0
15566740;3;410;587;3;83739.32;1;0
15566790;1;1057;598;8;129991.76;2;0
15566843;2;506;535;9;134874.40;1;0
15566891;2;405;584;3;88594.93;1;0
15566894;1;1222;793;3;137817.52;1;0
15566958;3;179;667;7;167557.12;1;0
15566988;2;512;656;7;141535.52;1;1
15567013;3;69;779;3;0.00;2;0
15567063;2;217;766;6;106434.94;1;1
15567078;1;79;789;8;66201.96;1;0
15567114;1;1042;430;1;118894.22;1;0
15567147;3;606;802;4;0.00;2;0
15567246;2;1129;684;3;102630.13;2;0
15567328;3;274;738;5;177997.07;1;0
15567333;1;203;712;7;0.00;2;0
15567335;1;689;559;7;0.00;2;0
15567339;1;239;735;9;0.00;1;0
15567367;2;620;601;9;133636.16;1;0
15567383;2;1161;678;2;98009.13;2;0
15567399;2;1150;633;3;144164.29;1;0
15567422;1;603;630;6;0.00;2;0
15567431;1;558;773;2;145578.28;1;0
15567437;2;210;734;7;123040.38;1;0
15567442;1;507;656;3;0.00;2;0
15567446;2;540;646;9;111574.41;1;0
15567486;3;944;634;4;0.00;2;0
15567506;2;736;738;6;114940.67;2;1
15567557;1;524;573;2;128243.03;1;0
15567630;2;211;721;6;100275.88;1;1
15567725;1;563;689;7;52016.08;2;0
15567778;2;1171;690;1;144027.80;1;1
15567802;3;1032;450;2;0.00;2;0
15567832;1;261;550;7;114354.95;1;0
15567834;1;1292;719;5;105918.10;1;0
15567839;1;911;501;9;114631.23;1;0
15567855;1;715;623;1;0.00;2;0
15567860;3;773;581;7;189318.16;2;1
15567893;2;1124;556;3;124213.36;2;0
15567897;2;1168;619;5;132725.10;1;0
15567919;2;1254;586;8;167735.69;2;0
15567923;1;295;739;6;0.00;1;0
15567980;2;244;537;5;100727.50;1;1
15567991;3;1267;794;0;144880.34;2;0
15567993;3;511;828;8;134766.85;1;0
15568006;1;1294;634;2;0.00;4;1
15568025;1;461;758;8;81710.46;1;0
15568032;2;1075;757;1;127320.36;3;0
15568044;1;152;508;7;0.00;2;0
15568046;1;490;809;7;109558.36;1;0
15568088;2;500;481;3;163714.52;1;0
15568104;1;1020;749;6;0.00;2;0
15568106;1;679;592;8;119278.01;2;0
15568120;1;1059;681;7;69609.85;1;0
15568162;3;1012;527;8;0.00;1;0
15568164;1;145;850;4;71379.53;2;0
15568238;3;1100;650;8;0.00;2;0
15568240;2;1111;492;10;77168.87;2;0
15568326;1;864;637;2;0.00;2;0
15568328;1;946;488;6;0.00;2;0
15568360;3;694;569;4;139840.36;1;0
15568429;3;970;633;3;0.00;2;0
15568449;3;208;661;7;143006.70;1;0
15568469;1;91;653;0;0.00;2;0
15568487;1;845;712;7;124616.23;1;0
15568506;2;578;524;10;67238.98;2;0
15568519;1;1284;534;9;0.00;2;0
15568562;1;345;689;8;160272.27;1;0
15568573;2;535;554;7;105701.91;1;1
15568595;1;255;544;9;113829.45;1;0
15568742;1;604;536;9;0.00;1;0
15568748;2;1262;671;6;99564.22;1;1
15568819;2;45;619;8;132796.04;3;1
15568834;3;529;698;6;125427.37;2;0
15568849;3;64;540;10;118158.74;1;0
15568876;1;977;496;1;102723.35;2;0
15568878;3;1101;654;5;0.00;2;0
15568885;2;1243;620;8;102251.57;1;0
15568904;2;857;608;3;106288.54;1;0
15568915;1;1061;681;6;153722.47;1;0
15568953;1;579;477;1;128554.98;1;0
15568963;2;993;674;2;152797.90;1;1
